xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
4.14020e+02	3.18395e+07	9.36415e+00	4.27592e+23	8.73357e-01
4.23676e+02	2.97111e+07	8.73728e+00	3.87982e+23	8.46094e-01
4.33557e+02	2.77250e+07	8.15236e+00	3.51984e+23	8.19539e-01
4.43669e+02	2.58717e+07	7.60658e+00	3.19270e+23	7.93679e-01
4.54016e+02	2.41421e+07	7.10716e+00	2.90112e+23	7.68994e-01
4.64605e+02	2.25282e+07	6.64262e+00	2.63688e+23	7.45058e-01
4.75441e+02	2.10223e+07	6.19866e+00	2.39097e+23	7.21205e-01
4.86529e+02	1.96169e+07	5.78390e+00	2.16734e+23	6.97961e-01
4.97876e+02	1.83056e+07	5.39687e+00	1.96425e+23	6.75340e-01
5.09488e+02	1.70819e+07	5.03572e+00	1.77985e+23	6.53328e-01
5.21370e+02	1.59399e+07	4.69873e+00	1.61244e+23	6.31913e-01
5.33530e+02	1.48743e+07	4.38428e+00	1.46048e+23	6.11083e-01
5.45973e+02	1.38800e+07	4.09088e+00	1.32258e+23	5.90825e-01
5.58707e+02	1.29521e+07	3.81711e+00	1.19745e+23	5.71127e-01
5.71737e+02	1.20862e+07	3.56166e+00	1.08394e+23	5.51978e-01
5.85072e+02	1.12782e+07	3.32331e+00	9.80977e+22	5.33365e-01
5.98717e+02	1.05242e+07	3.10091e+00	8.87612e+22	5.15277e-01
6.12680e+02	9.82064e+06	2.89341e+00	8.02964e+22	4.97704e-01
6.26970e+02	9.16408e+06	2.69981e+00	7.26236e+22	4.80634e-01
6.41592e+02	8.55141e+06	2.51836e+00	6.56390e+22	4.63980e-01
6.56556e+02	7.97969e+06	2.34964e+00	5.93327e+22	4.47864e-01
6.71868e+02	7.44620e+06	2.19222e+00	5.36202e+22	4.32218e-01
6.87538e+02	6.94835e+06	2.04532e+00	4.84456e+22	4.17030e-01
7.03573e+02	6.48379e+06	1.90823e+00	4.37592e+22	4.02288e-01
7.19982e+02	6.05028e+06	1.78028e+00	3.95155e+22	3.87982e-01
7.36774e+02	5.64575e+06	1.66085e+00	3.56733e+22	3.74099e-01
7.53957e+02	5.26826e+06	1.55044e+00	3.22279e+22	3.60762e-01
7.71541e+02	4.91600e+06	1.44571e+00	2.90597e+22	3.47618e-01
7.89536e+02	4.58730e+06	1.34892e+00	2.62214e+22	3.34996e-01
8.07950e+02	4.28055e+06	1.25862e+00	2.36551e+22	3.22766e-01
8.26793e+02	3.99432e+06	1.17434e+00	2.13346e+22	3.10916e-01
8.46076e+02	3.72723e+06	1.09569e+00	1.92368e+22	2.99437e-01
8.65808e+02	3.47798e+06	1.02229e+00	1.73409e+22	2.88319e-01
8.86001e+02	3.24539e+06	9.53797e-01	1.56281e+22	2.77555e-01
9.06665e+02	3.02836e+06	8.89862e-01	1.40805e+22	2.67134e-01
9.27811e+02	2.82584e+06	8.30668e-01	1.26937e+22	2.57129e-01
9.49449e+02	2.63684e+06	7.74967e-01	1.14312e+22	2.47370e-01
9.71593e+02	2.46049e+06	7.22984e-01	1.02917e+22	2.37931e-01
9.94253e+02	2.29591e+06	6.74085e-01	9.25541e+21	2.28728e-01
1.01744e+03	2.14234e+06	6.29812e-01	8.34806e+21	2.20099e-01
1.04117e+03	1.99905e+06	5.87623e-01	7.51225e+21	2.11586e-01
1.06545e+03	1.86533e+06	5.48236e-01	6.75829e+21	2.03357e-01
1.09030e+03	1.74055e+06	5.11336e-01	6.07603e+21	1.95376e-01
1.11573e+03	1.62412e+06	4.77001e-01	5.46303e+21	1.87691e-01
1.14175e+03	1.51547e+06	4.44960e-01	4.91076e+21	1.80271e-01
1.16838e+03	1.41408e+06	4.15048e-01	4.41315e+21	1.73106e-01
1.19563e+03	1.32238e+06	3.87364e-01	3.96866e+21	1.66248e-01
1.22352e+03	1.23400e+06	3.61306e-01	3.56504e+21	1.59576e-01
1.25205e+03	1.15154e+06	3.37047e-01	3.20265e+21	1.53156e-01
1.28125e+03	1.07458e+06	3.14417e-01	2.87665e+21	1.46967e-01
1.31113e+03	1.00277e+06	2.93303e-01	2.58344e+21	1.41002e-01
1.34171e+03	9.35757e+05	2.73605e-01	2.31979e+21	1.35255e-01
1.37300e+03	8.73222e+05	2.55227e-01	2.08276e+21	1.29718e-01
1.40503e+03	8.14867e+05	2.38081e-01	1.86972e+21	1.24385e-01
1.43780e+03	7.60411e+05	2.22085e-01	1.67828e+21	1.19250e-01
1.47133e+03	7.09594e+05	2.07161e-01	1.50630e+21	1.14306e-01
1.50564e+03	6.62174e+05	1.93238e-01	1.35182e+21	1.09548e-01
1.54076e+03	6.17922e+05	1.80248e-01	1.21309e+21	1.04970e-01
1.57669e+03	5.76628e+05	1.68130e-01	1.08854e+21	1.00565e-01
1.61347e+03	5.38093e+05	1.56825e-01	9.76728e+20	9.63286e-02
1.65110e+03	5.02134e+05	1.46278e-01	8.76379e+20	9.22544e-02
1.68960e+03	4.68578e+05	1.36439e-01	7.86333e+20	8.83370e-02
1.72901e+03	4.37264e+05	1.27260e-01	7.05544e+20	8.45712e-02
1.76933e+03	4.08043e+05	1.18697e-01	6.33073e+20	8.09517e-02
1.81060e+03	3.80774e+05	1.10709e-01	5.68073e+20	7.74735e-02
1.85283e+03	3.55328e+05	1.03257e-01	5.09783e+20	7.41315e-02
1.89604e+03	3.31583e+05	9.63059e-02	4.57515e+20	7.09209e-02
1.94026e+03	3.09424e+05	8.98212e-02	4.10655e+20	6.78369e-02
1.98551e+03	2.88746e+05	8.37721e-02	3.68646e+20	6.48750e-02
2.03182e+03	2.69450e+05	7.81294e-02	3.30990e+20	6.20306e-02
2.07921e+03	2.51443e+05	7.28658e-02	2.97238e+20	5.92993e-02
2.12770e+03	2.34640e+05	6.79559e-02	2.66988e+20	5.66769e-02
2.17732e+03	2.18960e+05	6.34604e-02	2.40355e+20	5.42061e-02
2.22810e+03	2.04327e+05	5.91867e-02	2.16030e+20	5.17894e-02
2.28007e+03	1.90673e+05	5.51983e-02	1.94219e+20	4.94683e-02
2.33324e+03	1.77931e+05	5.14781e-02	1.74670e+20	4.72400e-02
2.38766e+03	1.66040e+05	4.80081e-02	1.57150e+20	4.51008e-02
2.44335e+03	1.54944e+05	4.47716e-02	1.41445e+20	4.30472e-02
2.50033e+03	1.44590e+05	4.17528e-02	1.27368e+20	4.10756e-02
2.55864e+03	1.34927e+05	3.89373e-02	1.14748e+20	3.91826e-02
2.61832e+03	1.25911e+05	3.63114e-02	1.03432e+20	3.73649e-02
2.67938e+03	1.17496e+05	3.38623e-02	9.32839e+19	3.56192e-02
2.74187e+03	1.09644e+05	3.15783e-02	8.41811e+19	3.39423e-02
2.80582e+03	1.02317e+05	2.94482e-02	7.60139e+19	3.23313e-02
2.87126e+03	9.54798e+04	2.74617e-02	6.86840e+19	3.07832e-02
2.93823e+03	8.90992e+04	2.56092e-02	6.21035e+19	2.92951e-02
3.00675e+03	8.31450e+04	2.38817e-02	5.61936e+19	2.78642e-02
3.07688e+03	7.75887e+04	2.22709e-02	5.08838e+19	2.64878e-02
3.14864e+03	7.24037e+04	2.07263e-02	4.59846e+19	2.51253e-02
3.22207e+03	6.75652e+04	1.93281e-02	4.17042e+19	2.38514e-02
3.29722e+03	6.30500e+04	1.80243e-02	3.78529e+19	2.26243e-02
3.37412e+03	5.88366e+04	1.68087e-02	3.43857e+19	2.14419e-02
3.45281e+03	5.49048e+04	1.56753e-02	3.12623e+19	2.03018e-02
3.53334e+03	5.12357e+04	1.46185e-02	2.84469e+19	1.92019e-02
3.61574e+03	4.78118e+04	1.36333e-02	2.59074e+19	1.81400e-02
