# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
7.973000000000000000e+05	1.296151515807305366e+00	1.473699503397935629e+08	3.580123688175240437e+24	4.370633982252754635e+01	5.565890646137926723e+00	1.699466026357216775e+00	9.949383870824346499e-01
7.974000000000000000e+05	1.296210686096352926e+00	1.472489722519685328e+08	3.576116040641384590e+24	4.367045626278343917e+01	5.561323524316507338e+00	1.698889428399174006e+00	9.949389892665055912e-01
7.975000000000000000e+05	1.296269822639890767e+00	1.471280822291450202e+08	3.572112506898172208e+24	4.363459882779694254e+01	5.556759725454919696e+00	1.698312776767315624e+00	9.949395913270251413e-01
7.976000000000000000e+05	1.296328925450785929e+00	1.470072802126856744e+08	3.568113083015165974e+24	4.359876750017053837e+01	5.552199247341733646e+00	1.697736071438654681e+00	9.949401932640205004e-01
7.977000000000000000e+05	1.296387994541904121e+00	1.468865661439895630e+08	3.564117765065467090e+24	4.356296226251741643e+01	5.547642087766881502e+00	1.697159312390187358e+00	9.949407950775190912e-01
7.978000000000000000e+05	1.296447029926109940e+00	1.467659399644899070e+08	3.560126549125717956e+24	4.352718309746137493e+01	5.543088244521641172e+00	1.696582499598890292e+00	9.949413967675478920e-01
7.979000000000000000e+05	1.296506031616266874e+00	1.466454016156603694e+08	3.556139431276095732e+24	4.349142998763763757e+01	5.538537715398740957e+00	1.696005633041733462e+00	9.949419983341341034e-01
7.980000000000000000e+05	1.296564999625235082e+00	1.465249510390085578e+08	3.552156407600311798e+24	4.345570291569200805e+01	5.533990498192260965e+00	1.695428712695667972e+00	9.949425997773051478e-01
7.981000000000000000e+05	1.296623933965875164e+00	1.464045881760786474e+08	3.548177474185606388e+24	4.342000186428049346e+01	5.529446590697566499e+00	1.694851738537618502e+00	9.949432010970880036e-01
7.982000000000000000e+05	1.296682834651044836e+00	1.462843129684521854e+08	3.544202627122747513e+24	4.338432681607104513e+01	5.524905990711541648e+00	1.694274710544512397e+00	9.949438022935099823e-01
7.983000000000000000e+05	1.296741701693600923e+00	1.461641253577480316e+08	3.540231862506026669e+24	4.334867775374160459e+01	5.520368696032350364e+00	1.693697628693248358e+00	9.949444033665983955e-01
7.984000000000000000e+05	1.296800535106398256e+00	1.460440252856175303e+08	3.536265176433256689e+24	4.331305465998100601e+01	5.515834704459527948e+00	1.693120492960710655e+00	9.949450043163802215e-01
7.985000000000000000e+05	1.296859334902290772e+00	1.459240126937523186e+08	3.532302565005767981e+24	4.327745751748901881e+01	5.511304013794005030e+00	1.692543303323770454e+00	9.949456051428827719e-01
7.986000000000000000e+05	1.296918101094130416e+00	1.458040875238782763e+08	3.528344024328405850e+24	4.324188630897614161e+01	5.506776621838073815e+00	1.691966059759281160e+00	9.949462058461333580e-01
7.987000000000000000e+05	1.296976833694767350e+00	1.456842497177603543e+08	3.524389550509528883e+24	4.320634101716406406e+01	5.502252526395452925e+00	1.691388762244088406e+00	9.949468064261590694e-01
7.988000000000000000e+05	1.297035532717050854e+00	1.455644992171958387e+08	3.520439139661002509e+24	4.317082162478429552e+01	5.497731725271086667e+00	1.690811410755004740e+00	9.949474068829871065e-01
7.989000000000000000e+05	1.297094198173827984e+00	1.454448359640210271e+08	3.516492787898200070e+24	4.313532811458027538e+01	5.493214216271470107e+00	1.690234005268847817e+00	9.949480072166446698e-01
7.990000000000000000e+05	1.297152830077944685e+00	1.453252599001076818e+08	3.512550491339996917e+24	4.309986046930509218e+01	5.488699997204296466e+00	1.689656545762399764e+00	9.949486074271589597e-01
7.991000000000000000e+05	1.297211428442245129e+00	1.452057709673640728e+08	3.508612246108769874e+24	4.306441867172358684e+01	5.484189065878760871e+00	1.689079032212443598e+00	9.949492075145571768e-01
7.992000000000000000e+05	1.297269993279571931e+00	1.450863691077343822e+08	3.504678048330391331e+24	4.302900270461059051e+01	5.479681420105327661e+00	1.688501464595734136e+00	9.949498074788666324e-01
7.993000000000000000e+05	1.297328524641447878e+00	1.449672497287054360e+08	3.500747891537769044e+24	4.299364352237235209e+01	5.475183201333018168e+00	1.687937856877591791e+00	9.949504073201144161e-01
7.994000000000000000e+05	1.297387022582432659e+00	1.448482207969712317e+08	3.496821769066396353e+24	4.295831066674342935e+01	5.470688372413671452e+00	1.687374479399094129e+00	9.949510070383276172e-01
7.995000000000000000e+05	1.297445487115233664e+00	1.447292782921670377e+08	3.492899677066064321e+24	4.292300349249906333e+01	5.466196806611513637e+00	1.686811048348164199e+00	9.949516066335336584e-01
