xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
8.41213e+00	2.88090e+12	8.38910e+05	1.93448e+30	5.70705e+01
8.60832e+00	2.68699e+12	7.82841e+05	1.76403e+30	5.57581e+01
8.80909e+00	2.50615e+12	7.30400e+05	1.60825e+30	5.44726e+01
9.01454e+00	2.33752e+12	6.81677e+05	1.46682e+30	5.32218e+01
9.22478e+00	2.18025e+12	6.35969e+05	1.33716e+30	5.19931e+01
9.43993e+00	2.03359e+12	5.93468e+05	1.21936e+30	5.07965e+01
9.66009e+00	1.89683e+12	5.53938e+05	1.11228e+30	4.96312e+01
9.88539e+00	1.76926e+12	5.16826e+05	1.01404e+30	4.84856e+01
1.01159e+01	1.65029e+12	4.82236e+05	9.24571e+29	4.73673e+01
1.03519e+01	1.53935e+12	4.50040e+05	8.43192e+29	4.62772e+01
1.05933e+01	1.43588e+12	4.19992e+05	7.68973e+29	4.52120e+01
1.08404e+01	1.33936e+12	3.91858e+05	7.01066e+29	4.41675e+01
1.10932e+01	1.24935e+12	3.65624e+05	6.39190e+29	4.31475e+01
1.13519e+01	1.16540e+12	3.41179e+05	5.82851e+29	4.21521e+01
1.16167e+01	1.08711e+12	3.18428e+05	5.31610e+29	4.11820e+01
1.18876e+01	1.01408e+12	2.97169e+05	4.84821e+29	4.02329e+01
1.21648e+01	9.45955e+11	2.77197e+05	4.41866e+29	3.92990e+01
1.24486e+01	8.82429e+11	2.58774e+05	4.03148e+29	3.83970e+01
1.27389e+01	8.23167e+11	2.41429e+05	3.67523e+29	3.75076e+01
1.30360e+01	7.67893e+11	2.25289e+05	3.35132e+29	3.66410e+01
1.33400e+01	7.16339e+11	2.10277e+05	3.05690e+29	3.57969e+01
1.36511e+01	6.68248e+11	1.96207e+05	2.78724e+29	3.49685e+01
1.39695e+01	6.23391e+11	1.83094e+05	2.54164e+29	3.41599e+01
1.42953e+01	5.81548e+11	1.70845e+05	2.31748e+29	3.33691e+01
1.46287e+01	5.42517e+11	1.59388e+05	2.11259e+29	3.25943e+01
1.49699e+01	5.06111e+11	1.48755e+05	1.92677e+29	3.18413e+01
1.53190e+01	4.72154e+11	1.38862e+05	1.75782e+29	3.11078e+01
1.56763e+01	4.40473e+11	1.29536e+05	1.60219e+29	3.03837e+01
1.60419e+01	4.10924e+11	1.20916e+05	1.46161e+29	2.96828e+01
1.64161e+01	3.83358e+11	1.12823e+05	1.33263e+29	2.89937e+01
1.67989e+01	3.57643e+11	1.05271e+05	1.21502e+29	2.83203e+01
1.71907e+01	3.33656e+11	9.82394e+04	1.10802e+29	2.76638e+01
1.75917e+01	3.11280e+11	9.16826e+04	1.01052e+29	2.70227e+01
1.80019e+01	2.90405e+11	8.55593e+04	9.21531e+28	2.63957e+01
1.84218e+01	2.70932e+11	7.98286e+04	8.40152e+28	2.57813e+01
1.88514e+01	2.52766e+11	7.44959e+04	7.66153e+28	2.51825e+01
1.92911e+01	2.35819e+11	6.95084e+04	6.98524e+28	2.45961e+01
1.97410e+01	2.20010e+11	6.48679e+04	6.37034e+28	2.40247e+01
2.02014e+01	2.05262e+11	6.05328e+04	5.80900e+28	2.34657e+01
2.06726e+01	1.91503e+11	5.64797e+04	5.29616e+28	2.29184e+01
2.11547e+01	1.78668e+11	5.27197e+04	4.83124e+28	2.23867e+01
2.16481e+01	1.66693e+11	4.91894e+04	4.40467e+28	2.18641e+01
2.21530e+01	1.55522e+11	4.59068e+04	4.01707e+28	2.13551e+01
2.26696e+01	1.45100e+11	4.28385e+04	3.66304e+28	2.08569e+01
2.31983e+01	1.35377e+11	3.99636e+04	3.33890e+28	2.03681e+01
2.37394e+01	1.26306e+11	3.72957e+04	3.04498e+28	1.98930e+01
2.42930e+01	1.17844e+11	3.48049e+04	2.77682e+28	1.94286e+01
2.48596e+01	1.09949e+11	3.24773e+04	2.53194e+28	1.89741e+01
2.54394e+01	1.02583e+11	3.03141e+04	2.30954e+28	1.85318e+01
2.60327e+01	9.57111e+10	2.82780e+04	2.10498e+28	1.80959e+01
2.66399e+01	8.93002e+10	2.63971e+04	1.92034e+28	1.76742e+01
2.72612e+01	8.33188e+10	2.46337e+04	1.75116e+28	1.72602e+01
2.78970e+01	7.77382e+10	2.29817e+04	1.59629e+28	1.68540e+01
2.85476e+01	7.25318e+10	2.14495e+04	1.45593e+28	1.64596e+01
2.92134e+01	6.76743e+10	2.00135e+04	1.32739e+28	1.60724e+01
2.98947e+01	6.31422e+10	1.86723e+04	1.21007e+28	1.56937e+01
