# r[m]	m[Msun]	rho[g/cm^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
2.230801670124351777e-05	1.137766271666538914e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.267085858706967426e-05	1.194191776698674119e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.303960212860426792e-05	1.253415604811224399e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.341434331680505867e-05	1.315576533885909410e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.379517970393117064e-05	1.380820224247908483e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.418221042893799712e-05	1.449299559988500339e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.457553624328489178e-05	1.521175007214949115e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.497525953716266299e-05	1.596614990067165841e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.538148436614787103e-05	1.675796285382290920e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.579431647829017607e-05	1.758904436931878418e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.621386334164077341e-05	1.846134190202532362e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.664023417222831963e-05	1.937689948738675301e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.707353996248988487e-05	2.033786253116822696e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.751389351016460865e-05	2.134648283673800785e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.796140944765678821e-05	2.240512388166763377e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.841620427187706606e-05	2.351626635601685345e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.887839637456875733e-05	2.468251397527951327e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.934810607312740791e-05	2.590659958161209977e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.982545564192192809e-05	2.719139154764269428e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
3.031056934412460334e-05	2.853990049786401773e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
3.080357346405937068e-05	2.995528636336350061e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
3.130459634007599066e-05	3.144086578641955172e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
3.181376839795889026e-05	3.300011989231557944e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
3.233122218487973322e-05	3.463670244658436460e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
3.285709240390159513e-05	3.635444841679460072e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
3.339151594904495512e-05	3.815738295894591537e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
3.393463194092379503e-05	4.004973084952755122e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
3.448658176296124517e-05	4.203592638534293906e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
