# M/Msun	Teff_K	Tcore_K
# 
2.50000e-01	6.64423e+03	9.32610e+06
2.50000e-01	6.69952e+03	9.46930e+06
2.50000e-01	6.75580e+03	9.61597e+06
2.50000e-01	6.81310e+03	9.76625e+06
2.50000e-01	6.87130e+03	9.91985e+06
2.50000e-01	6.93043e+03	1.00770e+07
2.50000e-01	6.99060e+03	1.02380e+07
2.50000e-01	7.05164e+03	1.04025e+07
2.50000e-01	7.11362e+03	1.05707e+07
2.50000e-01	7.17662e+03	1.07429e+07
2.50000e-01	7.24041e+03	1.09186e+07
2.50000e-01	7.30505e+03	1.10978e+07
2.50000e-01	7.37051e+03	1.12808e+07
2.50000e-01	7.43682e+03	1.14676e+07
2.50000e-01	7.50367e+03	1.16573e+07
2.50000e-01	7.57109e+03	1.18502e+07
2.50000e-01	7.63906e+03	1.20462e+07
2.50000e-01	7.70754e+03	1.22454e+07
2.50000e-01	7.77655e+03	1.24478e+07
2.50000e-01	7.84628e+03	1.26541e+07
2.50000e-01	7.91644e+03	1.28635e+07
2.50000e-01	7.98718e+03	1.30765e+07
2.50000e-01	8.05850e+03	1.32932e+07
2.50000e-01	8.13032e+03	1.35134e+07
2.50000e-01	8.20254e+03	1.37368e+07
2.50000e-01	8.27500e+03	1.39630e+07
2.50000e-01	8.34757e+03	1.41915e+07
2.50000e-01	8.42026e+03	1.44224e+07
2.50000e-01	8.49256e+03	1.46542e+07
2.50000e-01	8.56445e+03	1.48868e+07
2.50000e-01	8.63575e+03	1.51196e+07
2.50000e-01	8.70629e+03	1.53521e+07
2.50000e-01	8.77579e+03	1.55834e+07
2.50000e-01	8.84419e+03	1.58131e+07
2.50000e-01	8.91128e+03	1.60406e+07
2.50000e-01	8.97688e+03	1.62653e+07
2.50000e-01	9.04107e+03	1.64869e+07
2.50000e-01	9.10361e+03	1.67050e+07
2.50000e-01	9.16427e+03	1.69183e+07
2.50000e-01	9.22346e+03	1.71280e+07
2.50000e-01	9.28085e+03	1.73330e+07
2.50000e-01	9.33603e+03	1.75318e+07
2.50000e-01	9.38967e+03	1.77265e+07
2.50000e-01	9.44179e+03	1.79172e+07
2.50000e-01	9.49247e+03	1.81038e+07
2.50000e-01	9.54241e+03	1.82889e+07
2.50000e-01	9.59184e+03	1.84728e+07
2.50000e-01	9.64113e+03	1.86575e+07
2.50000e-01	9.69081e+03	1.88444e+07
2.50000e-01	9.74134e+03	1.90350e+07
2.50000e-01	9.79324e+03	1.92310e+07
2.50000e-01	9.84626e+03	1.94321e+07
2.50000e-01	9.90052e+03	1.96384e+07
2.50000e-01	9.95555e+03	1.98480e+07
2.50000e-01	1.00108e+04	2.00594e+07
