xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
2.14617e-02	1.71615e+20	1.20788e+07	7.11438e+32	1.39556e+02
2.19623e-02	1.60147e+20	1.20788e+07	6.68423e+32	1.39556e+02
2.24745e-02	1.49445e+20	1.20788e+07	6.28283e+32	1.39556e+02
2.29986e-02	1.39458e+20	1.20788e+07	5.90826e+32	1.39556e+02
2.35350e-02	1.30138e+20	1.20788e+07	5.55872e+32	1.39556e+02
2.40839e-02	1.21442e+20	1.20788e+07	5.23253e+32	1.39556e+02
2.46456e-02	1.13326e+20	1.20788e+07	4.92814e+32	1.39556e+02
2.52204e-02	1.05753e+20	1.20788e+07	4.64410e+32	1.39556e+02
2.58086e-02	9.86858e+19	1.20788e+07	4.37904e+32	1.39556e+02
2.64105e-02	9.20910e+19	1.20788e+07	4.13168e+32	1.39556e+02
2.70265e-02	8.59369e+19	1.20788e+07	3.90086e+32	1.39556e+02
2.76568e-02	8.01940e+19	1.20788e+07	3.68547e+32	1.39556e+02
2.83018e-02	7.48350e+19	1.20787e+07	3.48446e+32	1.39556e+02
2.89619e-02	6.98340e+19	1.20787e+07	3.29689e+32	1.39556e+02
2.96374e-02	6.51672e+19	1.20787e+07	3.12186e+32	1.39556e+02
3.03286e-02	6.08124e+19	1.20787e+07	2.95852e+32	1.39556e+02
3.10359e-02	5.67485e+19	1.20787e+07	2.80610e+32	1.39556e+02
3.17598e-02	5.29562e+19	1.20787e+07	2.66386e+32	1.39556e+02
3.25005e-02	4.94173e+19	1.20787e+07	2.53113e+32	1.39556e+02
3.32585e-02	4.61149e+19	1.20787e+07	2.40727e+32	1.39556e+02
3.40341e-02	4.30332e+19	1.20787e+07	2.29168e+32	1.39556e+02
3.48279e-02	4.01575e+19	1.20787e+07	2.18382e+32	1.39556e+02
3.56402e-02	3.74739e+19	1.20787e+07	2.08317e+32	1.39556e+02
3.64714e-02	3.49697e+19	1.20787e+07	1.98924e+32	1.39556e+02
3.73220e-02	3.26328e+19	1.20787e+07	1.90159e+32	1.39556e+02
3.81924e-02	3.04520e+19	1.20787e+07	1.81980e+32	1.39556e+02
3.90832e-02	2.84170e+19	1.20787e+07	1.74347e+32	1.39556e+02
3.99947e-02	2.65180e+19	1.20787e+07	1.67224e+32	1.39556e+02
4.09275e-02	2.47459e+19	1.20787e+07	1.60578e+32	1.39556e+02
4.18820e-02	2.30922e+19	1.20787e+07	1.54375e+32	1.39556e+02
4.28588e-02	2.15491e+19	1.20787e+07	1.48587e+32	1.39556e+02
4.38584e-02	2.01090e+19	1.20786e+07	1.43186e+32	1.39556e+02
4.48813e-02	1.87652e+19	1.20786e+07	1.38146e+32	1.39556e+02
4.59280e-02	1.75112e+19	1.20786e+07	1.33442e+32	1.39556e+02
4.69992e-02	1.63410e+19	1.20786e+07	1.29053e+32	1.39556e+02
4.80953e-02	1.52490e+19	1.20786e+07	1.24957e+32	1.39556e+02
4.92170e-02	1.42300e+19	1.20786e+07	1.21135e+32	1.39556e+02
5.03649e-02	1.32790e+19	1.20786e+07	1.17568e+32	1.39556e+02
5.15395e-02	1.23916e+19	1.20786e+07	1.14240e+32	1.39556e+02
5.27415e-02	1.15635e+19	1.20786e+07	1.11134e+32	1.39556e+02
5.39716e-02	1.07908e+19	1.20786e+07	1.08236e+32	1.39556e+02
5.52303e-02	1.00697e+19	1.20785e+07	1.05531e+32	1.39556e+02
