xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
2.46346e-02	3.81066e+19	1.52043e+06	4.27475e+30	6.96932e+01
2.52091e-02	3.55604e+19	1.52044e+06	4.27476e+30	6.96932e+01
2.57970e-02	3.31844e+19	1.52044e+06	4.27477e+30	6.96932e+01
2.63985e-02	3.09671e+19	1.52044e+06	4.27478e+30	6.96932e+01
2.70141e-02	2.88979e+19	1.52045e+06	4.27479e+30	6.96932e+01
2.76441e-02	2.69671e+19	1.52045e+06	4.27480e+30	6.96932e+01
2.82887e-02	2.51652e+19	1.52045e+06	4.27482e+30	6.96932e+01
2.89484e-02	2.34837e+19	1.52045e+06	4.27483e+30	6.96932e+01
2.96234e-02	2.19146e+19	1.52046e+06	4.27483e+30	6.96932e+01
3.03142e-02	2.04503e+19	1.52046e+06	4.27484e+30	6.96932e+01
3.10211e-02	1.90839e+19	1.52046e+06	4.27485e+30	6.96932e+01
3.17445e-02	1.78087e+19	1.52046e+06	4.27486e+30	6.96932e+01
3.24848e-02	1.66188e+19	1.52046e+06	4.27487e+30	6.96932e+01
3.32423e-02	1.55084e+19	1.52047e+06	4.27487e+30	6.96932e+01
3.40175e-02	1.44722e+19	1.52047e+06	4.27488e+30	6.96932e+01
3.48107e-02	1.35052e+19	1.52047e+06	4.27489e+30	6.96932e+01
3.56225e-02	1.26028e+19	1.52047e+06	4.27489e+30	6.96938e+01
3.64532e-02	1.17607e+19	1.52047e+06	4.27490e+30	6.96938e+01
3.73032e-02	1.09749e+19	1.52047e+06	4.27490e+30	6.96938e+01
3.81731e-02	1.02416e+19	1.52047e+06	4.27490e+30	6.96938e+01
3.90633e-02	9.55725e+18	1.52048e+06	4.27491e+30	6.96938e+01
3.99742e-02	8.91866e+18	1.52048e+06	4.27491e+30	6.96938e+01
4.09064e-02	8.32274e+18	1.52048e+06	4.27491e+30	6.96938e+01
4.18603e-02	7.76663e+18	1.52048e+06	4.27491e+30	6.96938e+01
4.28364e-02	7.24769e+18	1.52048e+06	4.27492e+30	6.96938e+01
4.38353e-02	6.76342e+18	1.52048e+06	4.27492e+30	6.96938e+01
4.48575e-02	6.31150e+18	1.52048e+06	4.27492e+30	6.96938e+01
4.59036e-02	5.88978e+18	1.52048e+06	4.27491e+30	6.96938e+01
4.69740e-02	5.49624e+18	1.52048e+06	4.27491e+30	6.96938e+01
4.80694e-02	5.12900e+18	1.52048e+06	4.27491e+30	6.96938e+01
4.91903e-02	4.78629e+18	1.52048e+06	4.27491e+30	6.96938e+01
5.03374e-02	4.46648e+18	1.52047e+06	4.27490e+30	6.96938e+01
5.15113e-02	4.16804e+18	1.52047e+06	4.27490e+30	6.96938e+01
5.27125e-02	3.88955e+18	1.52047e+06	4.27489e+30	6.96938e+01
5.39417e-02	3.62966e+18	1.52047e+06	4.27489e+30	6.96932e+01
5.51995e-02	3.38713e+18	1.52047e+06	4.27488e+30	6.96932e+01
5.64868e-02	3.16081e+18	1.52047e+06	4.27488e+30	6.96932e+01
5.78040e-02	2.94961e+18	1.52046e+06	4.27487e+30	6.96932e+01
5.91519e-02	2.75253e+18	1.52046e+06	4.27486e+30	6.96932e+01
6.05313e-02	2.56861e+18	1.52046e+06	4.27485e+30	6.96932e+01
6.19428e-02	2.39698e+18	1.52046e+06	4.27484e+30	6.96932e+01
6.33873e-02	2.23682e+18	1.52045e+06	4.27482e+30	6.96932e+01
6.48654e-02	2.08736e+18	1.52045e+06	4.27481e+30	6.96932e+01
6.63780e-02	1.94789e+18	1.52045e+06	4.27480e+30	6.96932e+01
6.79259e-02	1.81774e+18	1.52044e+06	4.27478e+30	6.96932e+01
6.95099e-02	1.69628e+18	1.52044e+06	4.27477e+30	6.96932e+01
7.11308e-02	1.58294e+18	1.52043e+06	4.27475e+30	6.96932e+01
7.27895e-02	1.47717e+18	1.52043e+06	4.27473e+30	6.96926e+01
7.44869e-02	1.37847e+18	1.52042e+06	4.27471e+30	6.96926e+01
7.62239e-02	1.28636e+18	1.52042e+06	4.27469e+30	6.96926e+01
7.80014e-02	1.20041e+18	1.52041e+06	4.27467e+30	6.96926e+01
7.98203e-02	1.12020e+18	1.52041e+06	4.27464e+30	6.96926e+01
8.16817e-02	1.04535e+18	1.52040e+06	4.27462e+30	6.96926e+01
8.35864e-02	9.75506e+17	1.52039e+06	4.27459e+30	6.96926e+01
8.55356e-02	9.10325e+17	1.52038e+06	4.27456e+30	6.96919e+01
8.75302e-02	8.49499e+17	1.52038e+06	4.27453e+30	6.96919e+01
8.95713e-02	7.92738e+17	1.52037e+06	4.27450e+30	6.96919e+01
9.16601e-02	7.39769e+17	1.52036e+06	4.27447e+30	6.96919e+01
9.37975e-02	6.90339e+17	1.52035e+06	4.27443e+30	6.96913e+01
9.59848e-02	6.44212e+17	1.52034e+06	4.27440e+30	6.96913e+01
9.82231e-02	6.01167e+17	1.52033e+06	4.27436e+30	6.96913e+01
1.00514e-01	5.60998e+17	1.52032e+06	4.27431e+30	6.96913e+01
1.02857e-01	5.23514e+17	1.52031e+06	4.27427e+30	6.96907e+01
1.05256e-01	4.88533e+17	1.52029e+06	4.27422e+30	6.96907e+01
1.07711e-01	4.55891e+17	1.52028e+06	4.27418e+30	6.96907e+01
1.10222e-01	4.25429e+17	1.52027e+06	4.27412e+30	6.96901e+01
1.12793e-01	3.97002e+17	1.52025e+06	4.27407e+30	6.96901e+01
1.15423e-01	3.70476e+17	1.52024e+06	4.27401e+30	6.96901e+01
1.18114e-01	3.45721e+17	1.52022e+06	4.27395e+30	6.96894e+01
1.20869e-01	3.22621e+17	1.52020e+06	4.27389e+30	6.96894e+01
1.23687e-01	3.15888e+17	7.46608e+07	7.68715e+32	2.56564e+02
1.26572e-01	2.94782e+17	7.46608e+07	7.68716e+32	2.56564e+02
1.29523e-01	2.75086e+17	7.46609e+07	7.68717e+32	2.56564e+02
1.32543e-01	2.56706e+17	7.46610e+07	7.68718e+32	2.56564e+02
1.35634e-01	2.39554e+17	7.46610e+07	7.68719e+32	2.56564e+02
1.38797e-01	2.23549e+17	7.46611e+07	7.68719e+32	2.56564e+02
1.42034e-01	2.08612e+17	7.46611e+07	7.68720e+32	2.56564e+02
1.45346e-01	1.94674e+17	7.46612e+07	7.68721e+32	2.56564e+02
1.48735e-01	1.81667e+17	7.46613e+07	7.68722e+32	2.56564e+02
1.52204e-01	1.69529e+17	7.46613e+07	7.68723e+32	2.56564e+02
1.55753e-01	1.58202e+17	7.46614e+07	7.68724e+32	2.56564e+02
1.59385e-01	1.47632e+17	7.46615e+07	7.68725e+32	2.56564e+02
1.63102e-01	1.37769e+17	7.46615e+07	7.68726e+32	2.56564e+02
1.66905e-01	1.28564e+17	7.46616e+07	7.68727e+32	2.56564e+02
1.70797e-01	1.19974e+17	7.46617e+07	7.68728e+32	2.56565e+02
1.74780e-01	1.11959e+17	7.46617e+07	7.68729e+32	2.56565e+02
1.78856e-01	1.04478e+17	7.46618e+07	7.68730e+32	2.56565e+02
1.83026e-01	9.74981e+16	7.46619e+07	7.68731e+32	2.56565e+02
