# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
1.320478491282899166e+06	2.515900414466701873e-01	3.956794748663643003e+07	5.838389304740535788e+23	1.168348991590283426e+01	1.970200526522123852e+00	9.653671274387918277e-01	9.982586819564351899e-01
1.321214954468221404e+06	2.519111312062870534e-01	3.954098135655476153e+07	5.832802910480827396e+23	1.167546548612910939e+01	1.968858064956957366e+00	9.650677641502626303e-01	9.982589964327578391e-01
1.321951417653543642e+06	2.522323600059621640e-01	3.951402186128770560e+07	5.827219429784179976e+23	1.166744307329071795e+01	1.967515933518053872e+00	9.647682703640056978e-01	9.982593109671088483e-01
1.322687880838865880e+06	2.525537276108200668e-01	3.948706901615492254e+07	5.821638865311174775e+23	1.165942268194368303e+01	1.966174132968079524e+00	9.644686461225542295e-01	9.982596255593427781e-01
1.323424344024188118e+06	2.528752337858825028e-01	3.946012283645164222e+07	5.816061219713821893e+23	1.165140431663670739e+01	1.964832664068491885e+00	9.641688914684398704e-01	9.982599402093135232e-01
1.324160807209510356e+06	2.531968782960685727e-01	3.943318333744776249e+07	5.810486495635563642e+23	1.164338798191089808e+01	1.963491527579495743e+00	9.638690064441837180e-01	9.982602549168755335e-01
1.324897270394832594e+06	2.535186609061957919e-01	3.940625053438930959e+07	5.804914695711285953e+23	1.163537368230004887e+01	1.962150724260085966e+00	9.635689910923053159e-01	9.982605696818828145e-01
1.325633733580154832e+06	2.538405813809802569e-01	3.937932444249723107e+07	5.799345822567315695e+23	1.162736142233057990e+01	1.960810254868039726e+00	9.632688454553216539e-01	9.982608845041897050e-01
1.326370196765477071e+06	2.541626394850374226e-01	3.935240507696765661e+07	5.793779878821436777e+23	1.161935120652118947e+01	1.959470120159862105e+00	9.629685695757335129e-01	9.982611993836502107e-01
1.327106659950799309e+06	2.544848349828824352e-01	3.932549245297218859e+07	5.788216867082887464e+23	1.161134303938340651e+01	1.958130320890867804e+00	9.626681634960456702e-01	9.982615143201184482e-01
1.327843123136121547e+06	2.548071676389308537e-01	3.929858658565783501e+07	5.782656789952368434e+23	1.160333692542127437e+01	1.956790857815140061e+00	9.623676272587562419e-01	9.982618293134484233e-01
1.328579586321443785e+06	2.551296372174992055e-01	3.927168749014689773e+07	5.777099650022052169e+23	1.159533286913132066e+01	1.955451731685518446e+00	9.620669609063537964e-01	9.982621443634943637e-01
